Category,Description
1,meat manager Industrial Production manager Food and Beverage Stores 
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,"senior vice president digital magazine act Chief Executives Professional, Scientific, and Technical Services"
1,"supervisor technical service First-Line Supervisors of Mechanics, Installers, and Repairers Broadcasting (except Internet)"
1,registered nurse resource management Registered Nurse Hospitals
1,registered nurse speciality Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"case dock laborer Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
1,"machine operator ww Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,"work cell operator Production Workers, All Other Furniture and Related Product Manufacturing"
1,ct technician Radiologic Technicians Hospitals
1,producer Producers Administrative and Support Services
1,occupational therapist Occupational Therapists Hospitals
1,"visual inspector Inspectors, Testers, Sorters, Samplers, and Weighers Beverage and Tobacco Product Manufacturing"
1,seasonal registered nurse Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,medical surg registered nurse Registered Nurse Administration of Human Resource Programs 
1,mnt technical ii electrician Electricians Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"solutions account associate Sales Representatives, Services, All Other Furniture and Related Product Manufacturing"
2,territory manager ii Sales manager Beverage and Tobacco Product Manufacturing
2,director regional communications Sales manager Broadcasting (except Internet)
1,clinic mid level np physician assistant midwi Physician Assistants Hospitals
1,"blending operator Mixing and Blending Machine Setters, Operators, and Tenders Merchant Wholesalers, Nondurable Goods "
1,vice president delivery Chief Executives Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
3,direct marketing manager Marketing manager Broadcasting (except Internet)
1,"cb broadband technician Telecommunications Equipment Installers and Repairers, Except Line Installers Broadcasting (except Internet)"
1,"quality assurance inspector Inspectors, Testers, Sorters, Samplers, and Weighers Broadcasting (except Internet)"
1,construction coordinator First-Line Supervisors of Construction Trades and Extraction Workers Broadcasting (except Internet)
1,senior manager bus intelligence analytic radiation protection technician Nuclear Monitoring Technicians Broadcasting (except Internet)
1,"filler operator Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,vice president Chief Executives Administrative and Support Services
1,"supervisor technical service First-Line Supervisors of Mechanics, Installers, and Repairers Broadcasting (except Internet)"
1,"production services attnd Production, Planning, and Expediting Clerks Beverage and Tobacco Product Manufacturing"
1,"sleep technician Health Technologists and Technicians, All Other Administration of Human Resource Programs "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,retail sales executive Retail Salespersons Broadcasting (except Internet)
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Hospitals
1,sonographer Diagnostic Medical Sonographers Administration of Human Resource Programs 
1,phlebotomy supervisor Medical Assistants Hospitals
1,technician iii Pharmacy Technicians Beverage and Tobacco Product Manufacturing
1,nurse case manager Registered Nurse Administration of Human Resource Programs 
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,machine operator Packaging and Filling Machine Operators and Tenders Furniture and Related Product Manufacturing
1,senior vice president Chief Executives Administrative and Support Services
3,manager marketing creative strategy Marketing manager Broadcasting (except Internet)
2,"route sales relief person sml Driver/Sales Workers Merchant Wholesalers, Nondurable Goods "
1,"wet painter Painters, Construction and Maintenance Furniture and Related Product Manufacturing"
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,managing director General and Operations manager Administrative and Support Services
1,respiratory therapist prn Respiratory Therapists Hospitals
3,"associate brand manager Marketing manager Professional, Scientific, and Technical Services"
1,factory operations manager General and Operations manager Furniture and Related Product Manufacturing
1,respiratory therapist certified respiratory therapist Respiratory Therapists Administration of Human Resource Programs 
1,"senior project manager manager, All Other Professional, Scientific, and Technical Services"
2,"senior account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Administrative and Support Services"
1,phlebotomist Phlebotomists Ambulatory Health Care Services
1,"forklift operator plant Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
1,"school radiologic technician driver str trail Radiologic Technicians Merchant Wholesalers, Nondurable Goods "
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
3,"executive creative director Marketing manager Professional, Scientific, and Technical Services"
2,"associate Retail Salespersons Professional, Scientific, and Technical Services"
1,charge nurse Registered Nurse Hospitals
1,"coatings Coating, Painting, and Spraying Machine Setters, Operators, and Tenders Furniture and Related Product Manufacturing"
2,local account planner Personal Financial Advisors Broadcasting (except Internet)
2,inside territory account manag Sales manager Administrative and Support Services
1,"transportation supervisor First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators Merchant Wholesalers, Nondurable Goods "
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,supervisor direct sales First-Line Supervisors of Non-Retail Sales Workers Broadcasting (except Internet)
1,"senior utility operator cooler Cooling and Freezing Equipment Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,territory manager ii Sales manager Beverage and Tobacco Product Manufacturing
1,clinic mid level np physician assistant midwi Physician Assistants Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,pharmacist staff Pharmacists Administration of Human Resource Programs 
1,clinic mid level np physician assistant midwi Physician Assistants Administration of Human Resource Programs 
1,phy therapist Physical Therapists Ambulatory Health Care Services
1,"executive interactive producer Producers Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Administrative and Support Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"bagger debagger Packers and Packagers, Hand Merchant Wholesalers, Nondurable Goods "
3,associate media marketing representative Advertising Sales Agents Broadcasting (except Internet)
1,system administrator iii nms Network and Computer Systems Administrators Broadcasting (except Internet)
2,"sales support representaitve Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Beverage and Tobacco Product Manufacturing"
1,"case dock laborer Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"director strategic accounts Sales manager Professional, Scientific, and Technical Services"
1,"painter sprayer powder Coating, Painting, and Spraying Machine Setters, Operators, and Tenders Furniture and Related Product Manufacturing"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"art director Art Directors Professional, Scientific, and Technical Services"
1,supervisor manufacturing First-Line Supervisors of Production and Operating Workers Beverage and Tobacco Product Manufacturing
